Sales Person,Country,Product,Date,Amount,Boxes Shipped,Amount
Karlen McCaffrey,USA,Drinking Coco,03-01-2022,$114.82,231,114.82
Dotty Strutley,Australia,Spicy Special Slims,03-01-2022,"$5,257",201,"5,257"
Madelene Upcott,Australia,Orange Choco,03-01-2022,"$2,667",294,"2,667"
Roddy Speechley,India,Eclairs,03-01-2022,"$9,376",327,"9,376"
Dennison Crosswaite,Australia,99% Dark & Pure,04-01-2022,"$2,758.00",18,"2,758.00"
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,04-01-2022,"$1,218.00",135,"1,218.00"
Beverie Moffet,Australia,Smooth Sliky Salty,04-01-2022,"$11,682.62",506,"11,682.62"
Barr Faughny,Australia,85% Dark Bars,04-01-2022,"$8,651.20",43,"8,651.20"
Brien Boise,India,70% Dark Bites,04-01-2022,"$1,247",115,"1,247"
Marney O'Breen,UK,99% Dark & Pure,04-01-2022,"$2,892",201,"2,892"
Andria Kimpton,USA,Caramel Stuffed Bars,04-01-2022,"$5,193",137,"5,193"
Brien Boise,New Zealand,Baker's Choco Chips,05-01-2022,"$6,297.06",26,"6,297.06"
Rafaelita Blaksland,UK,Smooth Sliky Salty,05-01-2022,"$2,093",312,"2,093"
Gigi Bohling,New Zealand,Smooth Sliky Salty,06-01-2022,$700.00,97,700
Marney O'Breen,UK,50% Dark Bites,06-01-2022,"$2,459",387,"2,459"
Jan Morforth,Australia,50% Dark Bites,07-01-2022,"$7,911",285,"7,911"
Roddy Speechley,New Zealand,After Nines,07-01-2022,"$6,311",242,"6,311"
Oby Sorrel,India,Raspberry Choco,07-01-2022,"$2,210",227,"2,210"
Mallorie Waber,Australia,Almond Choco,07-01-2022,"$3,503",331,"3,503"
Madelene Upcott,UK,Fruit & Nut Bars,08-01-2022,"$9,538.21",198,"9,538.21"
Van Tuxwell,UK,Baker's Choco Chips,08-01-2022,"$2,794.33",21,"2,794.33"
Jan Morforth,UK,Orange Choco,08-01-2022,"$4,116.96",203,"4,116.96"
Curtice Advani,Australia,Milk Bars,08-01-2022,"$9,933",97,"9,933"
Gunar Cockshoot,India,Mint Chip Choco,08-01-2022,"$9,748",343,"9,748"
Kaine Padly,UK,50% Dark Bites,08-01-2022,"$5,292",357,"5,292"
Beverie Moffet,New Zealand,Organic Choco Syrup,09-01-2022,"$7,229.26",215,"7,229.26"
Camilla Castle,India,50% Dark Bites,09-01-2022,"$1,380",385,"1,380"
Barr Faughny,India,Caramel Stuffed Bars,10-01-2022,"$6,566.00",99,"6,566.00"
Roddy Speechley,USA,50% Dark Bites,10-01-2022,"$10,458.00",316,"10,458.00"
Kaine Padly,Canada,Organic Choco Syrup,10-01-2022,"$5,684.00",81,"5,684.00"
Van Tuxwell,Australia,Organic Choco Syrup,10-01-2022,"$21,762.80",15,"21,762.80"
Curtice Advani,India,70% Dark Bites,10-01-2022,"$5,498",48,"5,498"
Gigi Bohling,Canada,Milk Bars,10-01-2022,"$2,701",200,"2,701"
Gigi Bohling,Australia,Raspberry Choco,11-01-2022,"$6,722.22",330,"6,722.22"
Gigi Bohling,New Zealand,Raspberry Choco,11-01-2022,"$3,870",288,"3,870"
Kaine Padly,Canada,Almond Choco,11-01-2022,"$7,786",173,"7,786"
Karlen McCaffrey,New Zealand,85% Dark Bars,12-01-2022,"$6,069.00",55,"6,069.00"
Oby Sorrel,New Zealand,85% Dark Bars,12-01-2022,"$3,432.30",452,"3,432.30"
Kaine Padly,UK,Drinking Coco,12-01-2022,"$5,315",113,"5,315"
Kaine Padly,Canada,50% Dark Bites,13-01-2022,"$8,687.00",100,"8,687.00"
Rafaelita Blaksland,India,After Nines,13-01-2022,"$5,256.03",201,"5,256.03"
Ches Bonnell,Australia,Eclairs,13-01-2022,"$2,699",351,"2,699"
Jan Morforth,India,Caramel Stuffed Bars,13-01-2022,"$6,536",349,"6,536"
Kaine Padly,UK,50% Dark Bites,13-01-2022,"$5,135",176,"5,135"
Roddy Speechley,Canada,Orange Choco,13-01-2022,"$1,102",400,"1,102"
Wilone O'Kielt,USA,Smooth Sliky Salty,13-01-2022,"$3,073",11,"3,073"
Karlen McCaffrey,Australia,99% Dark & Pure,14-01-2022,"$11,303.07",166,"11,303.07"
Barr Faughny,New Zealand,After Nines,14-01-2022,$445,369,445
Brien Boise,USA,Orange Choco,14-01-2022,"$5,498",101,"5,498"
Jehu Rudeforth,India,Baker's Choco Chips,14-01-2022,"$2,712",75,"2,712"
Jan Morforth,Australia,Orange Choco,15-01-2022,"$8,126",134,"8,126"
Beverie Moffet,India,70% Dark Bites,15-01-2022,"$3,587",188,"3,587"
Van Tuxwell,UK,Drinking Coco,15-01-2022,$905,20,905
Dennison Crosswaite,India,Smooth Sliky Salty,15-01-2022,"$1,035",311,"1,035"
Ches Bonnell,USA,White Choc,16-01-2022,"$5,271.00",341,"5,271.00"
Rafaelita Blaksland,UK,Smooth Sliky Salty,16-01-2022,"$4,866.39",65,"4,866.39"
Jan Morforth,Australia,Drinking Coco,16-01-2022,"$2,824.71",25,"2,824.71"
Wilone O'Kielt,India,After Nines,16-01-2022,$763,185,763
Beverie Moffet,New Zealand,Organic Choco Syrup,16-01-2022,"$9,311",64,"9,311"
Van Tuxwell,Australia,Mint Chip Choco,17-01-2022,"$2,674.00",295,"2,674.00"
Beverie Moffet,UK,50% Dark Bites,17-01-2022,"$2,529.82",297,"2,529.82"
Jan Morforth,Australia,50% Dark Bites,17-01-2022,"$3,925.06",186,"3,925.06"
Karlen McCaffrey,USA,Raspberry Choco,17-01-2022,"$17,037.09",347,"17,037.09"
Brien Boise,Canada,Almond Choco,17-01-2022,"$9,716",281,"9,716"
Marney O'Breen,Australia,Spicy Special Slims,18-01-2022,"$13,125.00",275,"13,125.00"
Wilone O'Kielt,India,After Nines,18-01-2022,"$12,026.00",262,"12,026.00"
Marney O'Breen,New Zealand,70% Dark Bites,18-01-2022,"$8,973.05",360,"8,973.05"
Oby Sorrel,New Zealand,Organic Choco Syrup,18-01-2022,"$16,765.07",261,"16,765.07"
Mallorie Waber,USA,Eclairs,18-01-2022,"$9,422",31,"9,422"
Barr Faughny,Australia,Raspberry Choco,18-01-2022,"$5,037",341,"5,037"
Marney O'Breen,New Zealand,Peanut Butter Cubes,19-01-2022,"$4,301",48,"4,301"
Gunar Cockshoot,USA,Organic Choco Syrup,19-01-2022,"$7,229",33,"7,229"
Kelci Walkden,New Zealand,Smooth Sliky Salty,20-01-2022,"$12,265.45",268,"12,265.45"
Andria Kimpton,Australia,Peanut Butter Cubes,21-01-2022,"$6,678.00",148,"6,678.00"
Curtice Advani,Canada,Peanut Butter Cubes,21-01-2022,"$5,605.82",64,"5,605.82"
Roddy Speechley,UK,Peanut Butter Cubes,21-01-2022,"$5,140",222,"5,140"
Barr Faughny,New Zealand,Smooth Sliky Salty,21-01-2022,$837,304,837
Karlen McCaffrey,Australia,Spicy Special Slims,22-01-2022,"$5,303.58",354,"5,303.58"
Karlen McCaffrey,USA,Eclairs,22-01-2022,"$6,869",266,"6,869"
Brien Boise,India,Eclairs,23-01-2022,"$1,351.00",61,"1,351.00"
Mallorie Waber,Canada,Manuka Honey Choco,23-01-2022,"$1,540.11",117,"1,540.11"
Kelci Walkden,Australia,Eclairs,23-01-2022,"$8,727.09",523,"8,727.09"
Oby Sorrel,India,99% Dark & Pure,23-01-2022,"$12,232.97",11,"12,232.97"
Roddy Speechley,USA,Manuka Honey Choco,23-01-2022,"$10,245.00",329,"10,245.00"
Camilla Castle,India,85% Dark Bars,23-01-2022,"$5,129",146,"5,129"
Oby Sorrel,Australia,Spicy Special Slims,23-01-2022,"$2,092",161,"2,092"
Roddy Speechley,India,Drinking Coco,23-01-2022,"$6,493",361,"6,493"
Ches Bonnell,UK,Peanut Butter Cubes,24-01-2022,"$2,348.20",266,"2,348.20"
Curtice Advani,UK,White Choc,24-01-2022,"$8,434",127,"8,434"
Dotty Strutley,New Zealand,Raspberry Choco,24-01-2022,"$1,055",204,"1,055"
Jan Morforth,Canada,70% Dark Bites,25-01-2022,"$6,096.52",300,"6,096.52"
Karlen McCaffrey,Australia,After Nines,25-01-2022,"$2,528.14",67,"2,528.14"
Husein Augar,Australia,99% Dark & Pure,25-01-2022,"$2,481",3,"2,481"
Oby Sorrel,UK,White Choc,25-01-2022,"$3,362",43,"3,362"
Rafaelita Blaksland,New Zealand,70% Dark Bites,25-01-2022,"$3,545",99,"3,545"
Ches Bonnell,New Zealand,Organic Choco Syrup,25-01-2022,"$3,642",245,"3,642"
Wilone O'Kielt,India,After Nines,26-01-2022,"$12,194.27",252,"12,194.27"
Andria Kimpton,Canada,White Choc,26-01-2022,$460,38,460
Madelene Upcott,Australia,85% Dark Bars,27-01-2022,"$1,758.62",329,"1,758.62"
Ches Bonnell,Canada,Spicy Special Slims,27-01-2022,"$5,859.21",193,"5,859.21"
